Hospital Name,City,State,ZIP,Address,Service Name,Service Code,Department,Price (USD),Insurance Accepted,Average Wait Time (min),Hospital Rating
Hospital 4,City 4,State 4,12792,"788 Main St, City 4, State 4",Colonoscopy,45378,Gastroenterology,9004,Private,59,3.2
Hospital 4,City 4,State 4,63005,"679 Main St, City 4, State 4",Ultrasound,76801,Radiology,16835,Private,11,4.5
Hospital 5,City 5,State 5,55631,"193 Main St, City 5, State 5",MRI,70551,Radiology,16524,Uninsured,49,5
Hospital 5,City 5,State 5,86209,"454 Main St, City 5, State 5",X-Ray,71020,Radiology,17591,Uninsured,10,4
Hospital 5,City 5,State 5,87620,"711 Main St, City 5, State 5",Blood Test,85025,Laboratory,5199,Medicare,15,3.2
Hospital 5,City 5,State 5,98078,"578 Main St, City 5, State 5",Appendectomy,44950,Surgery,9386,Uninsured,23,4
Hospital 5,City 5,State 5,50452,"509 Main St, City 5, State 5",CT Scan,71260,Radiology,16106,Uninsured,6,4.5
Hospital 5,City 5,State 5,60701,"189 Main St, City 5, State 5",Physical Exam,99386,General,18404,Private,35,4.9
Hospital 5,City 5,State 5,53697,"501 Main St, City 5, State 5",Knee Replacement,27447,Orthopedics,7447,Medicare,12,2.9
Hospital 5,City 5,State 5,67424,"332 Main St, City 5, State 5",Cardiac Stress Test,93015,Cardiology,7494,Uninsured,30,3.4
Hospital 5,City 5,State 5,88500,"548 Main St, City 5, State 5",Colonoscopy,45378,Gastroenterology,14577,Private,6,3.2
Hospital 5,City 5,State 5,33364,"531 Main St, City 5, State 5",Ultrasound,76801,Radiology,14250,Private,56,4.3
Hospital 6,City 6,State 6,31842,"791 Main St, City 6, State 6",MRI,70551,Radiology,1215,Private,38,4.9
Hospital 6,City 6,State 6,36233,"536 Main St, City 6, State 6",X-Ray,71020,Radiology,8858,Private,7,3
Hospital 6,City 6,State 6,39848,"986 Main St, City 6, State 6",Blood Test,85025,Laboratory,17950,Private,24,4.7
Hospital 6,City 6,State 6,13029,"930 Main St, City 6, State 6",Appendectomy,44950,Surgery,6321,Medicare,17,3.8
Hospital 6,City 6,State 6,93705,"354 Main St, City 6, State 6",CT Scan,71260,Radiology,1312,Uninsured,46,4.2
Hospital 6,City 6,State 6,76947,"984 Main St, City 6, State 6",Physical Exam,99386,General,365,Private,8,3.5
Hospital 6,City 6,State 6,86063,"218 Main St, City 6, State 6",Knee Replacement,27447,Orthopedics,4822,Private,41,2.9
Hospital 6,City 6,State 6,31326,"347 Main St, City 6, State 6",Cardiac Stress Test,93015,Cardiology,5487,Uninsured,31,2.6
Hospital 6,City 6,State 6,32053,"228 Main St, City 6, State 6",Colonoscopy,45378,Gastroenterology,18070,Private,40,4.4
Hospital 6,City 6,State 6,76388,"412 Main St, City 6, State 6",Ultrasound,76801,Radiology,8380,Medicare,54,4
Hospital 7,City 7,State 7,27892,"920 Main St, City 7, State 7",MRI,70551,Radiology,4050,Medicare,29,2.9
Hospital 7,City 7,State 7,58005,"120 Main St, City 7, State 7",X-Ray,71020,Radiology,7828,Uninsured,28,4.1
Hospital 7,City 7,State 7,26933,"590 Main St, City 7, State 7",Blood Test,85025,Laboratory,12399,Private,8,4.3
Hospital 7,City 7,State 7,49098,"395 Main St, City 7, State 7",Appendectomy,44950,Surgery,17112,Uninsured,51,4.6
Hospital 7,City 7,State 7,96212,"697 Main St, City 7, State 7",CT Scan,71260,Radiology,8139,Medicare,48,3.7
Hospital 7,City 7,State 7,32898,"155 Main St, City 7, State 7",Physical Exam,99386,General,5555,Uninsured,41,3.7
Hospital 7,City 7,State 7,25162,"843 Main St, City 7, State 7",Knee Replacement,27447,Orthopedics,5430,Private,20,4.1
Hospital 7,City 7,State 7,84680,"788 Main St, City 7, State 7",Cardiac Stress Test,93015,Cardiology,11127,Medicare,54,4.9
Hospital 7,City 7,State 7,30703,"221 Main St, City 7, State 7",Colonoscopy,45378,Gastroenterology,6428,Uninsured,8,4.1
Hospital 7,City 7,State 7,80341,"484 Main St, City 7, State 7",Ultrasound,76801,Radiology,19083,Medicare,51,2.8
Hospital 8,City 8,State 8,86729,"492 Main St, City 8, State 8",MRI,70551,Radiology,6523,Private,49,4.6
Hospital 8,City 8,State 8,72477,"836 Main St, City 8, State 8",X-Ray,71020,Radiology,7166,Medicare,10,3.2
Hospital 8,City 8,State 8,76562,"886 Main St, City 8, State 8",Blood Test,85025,Laboratory,10482,Private,5,3.1
Hospital 8,City 8,State 8,43112,"723 Main St, City 8, State 8",Appendectomy,44950,Surgery,4868,Medicare,27,3.7
Hospital 8,City 8,State 8,38082,"464 Main St, City 8, State 8",CT Scan,71260,Radiology,16714,Private,24,2.6
Hospital 8,City 8,State 8,54140,"691 Main St, City 8, State 8",Physical Exam,99386,General,8226,Uninsured,58,3.1
Hospital 8,City 8,State 8,78187,"129 Main St, City 8, State 8",Knee Replacement,27447,Orthopedics,17372,Private,55,3.9
Hospital 8,City 8,State 8,74030,"170 Main St, City 8, State 8",Cardiac Stress Test,93015,Cardiology,7065,Private,35,4.1
Hospital 8,City 8,State 8,39857,"743 Main St, City 8, State 8",Colonoscopy,45378,Gastroenterology,4726,Medicare,47,5
Hospital 8,City 8,State 8,12187,"116 Main St, City 8, State 8",Ultrasound,76801,Radiology,6743,Medicare,59,4.8
Hospital 9,City 9,State 9,60264,"477 Main St, City 9, State 9",MRI,70551,Radiology,12323,Uninsured,6,4.7
Hospital 9,City 9,State 9,13866,"984 Main St, City 9, State 9",X-Ray,71020,Radiology,1765,Private,31,4.8
Hospital 9,City 9,State 9,53016,"143 Main St, City 9, State 9",Blood Test,85025,Laboratory,10625,Private,43,2.9
Hospital 9,City 9,State 9,93993,"408 Main St, City 9, State 9",Appendectomy,44950,Surgery,11364,Private,53,4.6
Hospital 9,City 9,State 9,49999,"197 Main St, City 9, State 9",CT Scan,71260,Radiology,14123,Medicare,45,4.4
Hospital 9,City 9,State 9,36555,"527 Main St, City 9, State 9",Physical Exam,99386,General,19823,Uninsured,25,2.6
Hospital 9,City 9,State 9,62562,"523 Main St, City 9, State 9",Knee Replacement,27447,Orthopedics,6868,Private,47,4.8
Hospital 9,City 9,State 9,59898,"435 Main St, City 9, State 9",Cardiac Stress Test,93015,Cardiology,13763,Medicare,33,2.8
Hospital 9,City 9,State 9,36276,"817 Main St, City 9, State 9",Colonoscopy,45378,Gastroenterology,17894,Medicare,22,2.5
Hospital 9,City 9,State 9,26508,"922 Main St, City 9, State 9",Ultrasound,76801,Radiology,13051,Uninsured,55,4.4
Hospital 10,City 10,State 10,74389,"588 Main St, City 10, State 10",MRI,70551,Radiology,9883,Medicare,22,3.5
Hospital 10,City 10,State 10,54735,"758 Main St, City 10, State 10",X-Ray,71020,Radiology,1020,Medicare,10,3.1
Hospital 10,City 10,State 10,86338,"891 Main St, City 10, State 10",Blood Test,85025,Laboratory,3337,Uninsured,28,3.6
Hospital 10,City 10,State 10,64050,"300 Main St, City 10, State 10",Appendectomy,44950,Surgery,306,Medicare,16,4.6
Hospital 10,City 10,State 10,31169,"753 Main St, City 10, State 10",CT Scan,71260,Radiology,2157,Medicare,28,4.6
Hospital 10,City 10,State 10,83166,"583 Main St, City 10, State 10",Physical Exam,99386,General,18018,Uninsured,56,3.3
Hospital 10,City 10,State 10,29403,"386 Main St, City 10, State 10",Knee Replacement,27447,Orthopedics,7895,Uninsured,14,4.9
Hospital 10,City 10,State 10,22774,"274 Main St, City 10, State 10",Cardiac Stress Test,93015,Cardiology,17054,Private,30,3.7
Hospital 10,City 10,State 10,41861,"839 Main St, City 10, State 10",Colonoscopy,45378,Gastroenterology,1741,Private,57,3.6
Hospital 10,City 10,State 10,54426,"924 Main St, City 10, State 10",Ultrasound,76801,Radiology,3999,Private,37,4.4
Hospital 11,City 11,State 1,70642,"583 Main St, City 11, State 1",MRI,70551,Radiology,3986,Medicare,21,5
Hospital 11,City 11,State 1,30143,"600 Main St, City 11, State 1",X-Ray,71020,Radiology,10483,Uninsured,53,4.8
Hospital 11,City 11,State 1,92097,"484 Main St, City 11, State 1",Blood Test,85025,Laboratory,6761,Uninsured,16,3.6
Hospital 11,City 11,State 1,34923,"626 Main St, City 11, State 1",Appendectomy,44950,Surgery,7406,Medicare,28,3.3
Hospital 11,City 11,State 1,35964,"816 Main St, City 11, State 1",CT Scan,71260,Radiology,3224,Private,47,4.8
Hospital 11,City 11,State 1,12050,"340 Main St, City 11, State 1",Physical Exam,99386,General,699,Uninsured,11,3.2
Hospital 11,City 11,State 1,47747,"731 Main St, City 11, State 1",Knee Replacement,27447,Orthopedics,6076,Uninsured,22,4.8
Hospital 11,City 11,State 1,97637,"926 Main St, City 11, State 1",Cardiac Stress Test,93015,Cardiology,2502,Medicare,35,3.9
Hospital 11,City 11,State 1,81531,"357 Main St, City 11, State 1",Colonoscopy,45378,Gastroenterology,13304,Medicare,48,3.8
Hospital 11,City 11,State 1,41454,"800 Main St, City 11, State 1",Ultrasound,76801,Radiology,8316,Private,38,3.9
Hospital 12,City 12,State 2,21991,"653 Main St, City 12, State 2",MRI,70551,Radiology,15554,Medicare,43,3.8
Hospital 12,City 12,State 2,28061,"135 Main St, City 12, State 2",X-Ray,71020,Radiology,9382,Private,17,3.9
Hospital 12,City 12,State 2,20282,"154 Main St, City 12, State 2",Blood Test,85025,Laboratory,6411,Private,50,4.7
Hospital 12,City 12,State 2,95839,"403 Main St, City 12, State 2",Appendectomy,44950,Surgery,12917,Private,23,4.2
Hospital 12,City 12,State 2,20878,"997 Main St, City 12, State 2",CT Scan,71260,Radiology,16748,Medicare,15,3.4
Hospital 12,City 12,State 2,12630,"844 Main St, City 12, State 2",Physical Exam,99386,General,9108,Medicare,30,3.2
Hospital 12,City 12,State 2,81119,"705 Main St, City 12, State 2",Knee Replacement,27447,Orthopedics,13034,Uninsured,15,4
Hospital 12,City 12,State 2,14644,"331 Main St, City 12, State 2",Cardiac Stress Test,93015,Cardiology,807,Medicare,24,4.7
Hospital 12,City 12,State 2,25443,"269 Main St, City 12, State 2",Colonoscopy,45378,Gastroenterology,1312,Private,43,3.1
Hospital 12,City 12,State 2,29914,"655 Main St, City 12, State 2",Ultrasound,76801,Radiology,10388,Private,17,4.8
Hospital 13,City 13,State 3,88144,"533 Main St, City 13, State 3",MRI,70551,Radiology,2167,Uninsured,7,3.9
Hospital 13,City 13,State 3,78311,"603 Main St, City 13, State 3",X-Ray,71020,Radiology,4635,Medicare,10,3.7
Hospital 13,City 13,State 3,47172,"915 Main St, City 13, State 3",Blood Test,85025,Laboratory,5081,Private,13,3.1
Hospital 13,City 13,State 3,22830,"544 Main St, City 13, State 3",Appendectomy,44950,Surgery,10095,Private,14,3.4
Hospital 13,City 13,State 3,39324,"599 Main St, City 13, State 3",CT Scan,71260,Radiology,19934,Medicare,43,4.6
Hospital 13,City 13,State 3,15428,"952 Main St, City 13, State 3",Physical Exam,99386,General,19550,Private,37,2.7
Hospital 13,City 13,State 3,54254,"155 Main St, City 13, State 3",Knee Replacement,27447,Orthopedics,2507,Private,26,2.6
Hospital 13,City 13,State 3,93502,"777 Main St, City 13, State 3",Cardiac Stress Test,93015,Cardiology,5360,Uninsured,58,4.5
Hospital 13,City 13,State 3,48918,"173 Main St, City 13, State 3",Colonoscopy,45378,Gastroenterology,14920,Medicare,40,2.6
Hospital 13,City 13,State 3,77541,"530 Main St, City 13, State 3",Ultrasound,76801,Radiology,15416,Medicare,10,4.3
Hospital 14,City 14,State 4,37438,"818 Main St, City 14, State 4",MRI,70551,Radiology,6646,Private,33,4.9
Hospital 14,City 14,State 4,85934,"630 Main St, City 14, State 4",X-Ray,71020,Radiology,13340,Uninsured,27,3.1
Hospital 14,City 14,State 4,81519,"637 Main St, City 14, State 4",Blood Test,85025,Laboratory,13586,Private,51,4.4
Hospital 14,City 14,State 4,71340,"347 Main St, City 14, State 4",Appendectomy,44950,Surgery,17263,Uninsured,16,3.8
Hospital 14,City 14,State 4,93998,"722 Main St, City 14, State 4",CT Scan,71260,Radiology,737,Medicare,50,3
Hospital 14,City 14,State 4,94014,"286 Main St, City 14, State 4",Physical Exam,99386,General,18930,Private,58,4.7
Hospital 14,City 14,State 4,92286,"794 Main St, City 14, State 4",Knee Replacement,27447,Orthopedics,13261,Uninsured,47,3.4
Hospital 14,City 14,State 4,85304,"122 Main St, City 14, State 4",Cardiac Stress Test,93015,Cardiology,14522,Private,18,3.9
Hospital 14,City 14,State 4,99220,"258 Main St, City 14, State 4",Colonoscopy,45378,Gastroenterology,11328,Private,46,4.6
Hospital 14,City 14,State 4,45132,"801 Main St, City 14, State 4",Ultrasound,76801,Radiology,15800,Medicare,20,4.6
Hospital 15,City 15,State 5,11900,"638 Main St, City 15, State 5",MRI,70551,Radiology,16540,Uninsured,54,3.4
Hospital 15,City 15,State 5,85280,"479 Main St, City 15, State 5",X-Ray,71020,Radiology,2640,Uninsured,37,2.7
Hospital 15,City 15,State 5,17166,"133 Main St, City 15, State 5",Blood Test,85025,Laboratory,14110,Private,43,3.7
Hospital 15,City 15,State 5,82552,"209 Main St, City 15, State 5",Appendectomy,44950,Surgery,15715,Medicare,26,3.4
Hospital 15,City 15,State 5,67191,"933 Main St, City 15, State 5",CT Scan,71260,Radiology,12134,Private,6,3.5
Hospital 15,City 15,State 5,99828,"273 Main St, City 15, State 5",Physical Exam,99386,General,9082,Private,59,3.5
Hospital 15,City 15,State 5,76743,"616 Main St, City 15, State 5",Knee Replacement,27447,Orthopedics,11928,Medicare,17,3.4
Hospital 15,City 15,State 5,70267,"592 Main St, City 15, State 5",Cardiac Stress Test,93015,Cardiology,9078,Medicare,51,4.6
Hospital 15,City 15,State 5,92322,"395 Main St, City 15, State 5",Colonoscopy,45378,Gastroenterology,5295,Private,28,3.3
Hospital 15,City 15,State 5,62444,"466 Main St, City 15, State 5",Ultrasound,76801,Radiology,10341,Uninsured,41,3.6
Hospital 16,City 16,State 6,40779,"195 Main St, City 16, State 6",MRI,70551,Radiology,2046,Private,45,2.6
Hospital 16,City 16,State 6,50768,"802 Main St, City 16, State 6",X-Ray,71020,Radiology,18847,Medicare,6,3
Hospital 16,City 16,State 6,38148,"626 Main St, City 16, State 6",Blood Test,85025,Laboratory,19515,Uninsured,59,3.9
Hospital 16,City 16,State 6,59639,"418 Main St, City 16, State 6",Appendectomy,44950,Surgery,3464,Uninsured,5,2.8
Hospital 16,City 16,State 6,41777,"584 Main St, City 16, State 6",CT Scan,71260,Radiology,9465,Private,37,2.9
Hospital 16,City 16,State 6,93055,"952 Main St, City 16, State 6",Physical Exam,99386,General,1941,Private,47,3.8
Hospital 16,City 16,State 6,82979,"550 Main St, City 16, State 6",Knee Replacement,27447,Orthopedics,398,Private,45,2.7
Hospital 16,City 16,State 6,41447,"236 Main St, City 16, State 6",Cardiac Stress Test,93015,Cardiology,11047,Medicare,19,4.5
Hospital 16,City 16,State 6,15293,"520 Main St, City 16, State 6",Colonoscopy,45378,Gastroenterology,542,Private,56,3.7
Hospital 16,City 16,State 6,31539,"120 Main St, City 16, State 6",Ultrasound,76801,Radiology,534,Medicare,53,3.3
Hospital 17,City 17,State 7,48216,"307 Main St, City 17, State 7",MRI,70551,Radiology,3486,Uninsured,17,4.8
Hospital 17,City 17,State 7,77430,"189 Main St, City 17, State 7",X-Ray,71020,Radiology,7505,Medicare,46,4
Hospital 17,City 17,State 7,31775,"483 Main St, City 17, State 7",Blood Test,85025,Laboratory,19145,Uninsured,45,2.6
Hospital 17,City 17,State 7,37958,"946 Main St, City 17, State 7",Appendectomy,44950,Surgery,9378,Medicare,5,4.1
Hospital 17,City 17,State 7,59390,"813 Main St, City 17, State 7",CT Scan,71260,Radiology,12923,Private,55,4.4
Hospital 17,City 17,State 7,54453,"668 Main St, City 17, State 7",Physical Exam,99386,General,3704,Uninsured,42,4.3
Hospital 17,City 17,State 7,18089,"385 Main St, City 17, State 7",Knee Replacement,27447,Orthopedics,6096,Private,9,4.8
Hospital 17,City 17,State 7,12775,"955 Main St, City 17, State 7",Cardiac Stress Test,93015,Cardiology,1447,Private,45,5
Hospital 17,City 17,State 7,39748,"822 Main St, City 17, State 7",Colonoscopy,45378,Gastroenterology,3334,Medicare,51,4.3
Hospital 17,City 17,State 7,38566,"418 Main St, City 17, State 7",Ultrasound,76801,Radiology,18846,Uninsured,8,2.7
Hospital 18,City 18,State 8,18695,"104 Main St, City 18, State 8",MRI,70551,Radiology,5746,Uninsured,27,3.2
Hospital 18,City 18,State 8,18923,"875 Main St, City 18, State 8",X-Ray,71020,Radiology,11458,Uninsured,21,4.5
Hospital 18,City 18,State 8,91683,"907 Main St, City 18, State 8",Blood Test,85025,Laboratory,17093,Medicare,44,2.6
Hospital 18,City 18,State 8,67541,"448 Main St, City 18, State 8",Appendectomy,44950,Surgery,3963,Medicare,33,3.6
Hospital 18,City 18,State 8,96870,"106 Main St, City 18, State 8",CT Scan,71260,Radiology,8082,Private,9,4.4
Hospital 18,City 18,State 8,61088,"891 Main St, City 18, State 8",Physical Exam,99386,General,18518,Private,47,2.8
Hospital 18,City 18,State 8,56458,"294 Main St, City 18, State 8",Knee Replacement,27447,Orthopedics,4764,Private,12,4.8
Hospital 18,City 18,State 8,95636,"742 Main St, City 18, State 8",Cardiac Stress Test,93015,Cardiology,12065,Medicare,32,3.1
Hospital 18,City 18,State 8,96270,"873 Main St, City 18, State 8",Colonoscopy,45378,Gastroenterology,953,Uninsured,16,3.7
Hospital 18,City 18,State 8,36220,"891 Main St, City 18, State 8",Ultrasound,76801,Radiology,3832,Uninsured,51,3.4
Hospital 19,City 19,State 9,89010,"550 Main St, City 19, State 9",MRI,70551,Radiology,9335,Uninsured,50,3.8
Hospital 19,City 19,State 9,54495,"750 Main St, City 19, State 9",X-Ray,71020,Radiology,1629,Medicare,37,4.5
Hospital 19,City 19,State 9,70567,"984 Main St, City 19, State 9",Blood Test,85025,Laboratory,14381,Uninsured,18,3.5
Hospital 19,City 19,State 9,18087,"313 Main St, City 19, State 9",Appendectomy,44950,Surgery,8436,Uninsured,10,3.3
Hospital 19,City 19,State 9,19868,"719 Main St, City 19, State 9",CT Scan,71260,Radiology,19346,Uninsured,30,5
Hospital 19,City 19,State 9,31124,"368 Main St, City 19, State 9",Physical Exam,99386,General,14185,Medicare,26,4.4
Hospital 19,City 19,State 9,91860,"352 Main St, City 19, State 9",Knee Replacement,27447,Orthopedics,4074,Uninsured,8,4.8
Hospital 19,City 19,State 9,53666,"736 Main St, City 19, State 9",Cardiac Stress Test,93015,Cardiology,14095,Private,26,4.8
Hospital 19,City 19,State 9,83738,"697 Main St, City 19, State 9",Colonoscopy,45378,Gastroenterology,16752,Medicare,52,2.7
Hospital 19,City 19,State 9,68481,"899 Main St, City 19, State 9",Ultrasound,76801,Radiology,19653,Medicare,46,3.1
Hospital 20,City 20,State 10,86733,"727 Main St, City 20, State 10",MRI,70551,Radiology,15694,Medicare,17,4.6
Hospital 20,City 20,State 10,18216,"491 Main St, City 20, State 10",X-Ray,71020,Radiology,15941,Medicare,8,3.7
Hospital 20,City 20,State 10,32824,"222 Main St, City 20, State 10",Blood Test,85025,Laboratory,11857,Medicare,19,4.7
Hospital 20,City 20,State 10,61950,"113 Main St, City 20, State 10",Appendectomy,44950,Surgery,9991,Medicare,34,4.6
Hospital 20,City 20,State 10,99951,"113 Main St, City 20, State 10",CT Scan,71260,Radiology,2083,Medicare,36,3
Hospital 20,City 20,State 10,79108,"157 Main St, City 20, State 10",Physical Exam,99386,General,11289,Private,54,3.6
Hospital 20,City 20,State 10,41087,"441 Main St, City 20, State 10",Knee Replacement,27447,Orthopedics,15352,Medicare,16,2.7
Hospital 20,City 20,State 10,18842,"249 Main St, City 20, State 10",Cardiac Stress Test,93015,Cardiology,6196,Medicare,22,4.8
Hospital 20,City 20,State 10,54743,"230 Main St, City 20, State 10",Colonoscopy,45378,Gastroenterology,9529,Private,13,3
Hospital 20,City 20,State 10,92766,"731 Main St, City 20, State 10",Ultrasound,76801,Radiology,11281,Uninsured,24,3.1
Hospital 21,City 1,State 1,89723,"784 Main St, City 1, State 1",MRI,70551,Radiology,2612,Uninsured,16,4.3
Hospital 21,City 1,State 1,94298,"466 Main St, City 1, State 1",X-Ray,71020,Radiology,16231,Uninsured,23,3.9
Hospital 21,City 1,State 1,68217,"761 Main St, City 1, State 1",Blood Test,85025,Laboratory,14332,Uninsured,9,3.9
Hospital 21,City 1,State 1,67695,"263 Main St, City 1, State 1",Appendectomy,44950,Surgery,17541,Medicare,20,3.5
Hospital 21,City 1,State 1,90431,"375 Main St, City 1, State 1",CT Scan,71260,Radiology,3140,Medicare,45,4.6
Hospital 21,City 1,State 1,56700,"119 Main St, City 1, State 1",Physical Exam,99386,General,8315,Uninsured,16,3.9
Hospital 21,City 1,State 1,34284,"719 Main St, City 1, State 1",Knee Replacement,27447,Orthopedics,4601,Uninsured,48,3.3
Hospital 21,City 1,State 1,88452,"247 Main St, City 1, State 1",Cardiac Stress Test,93015,Cardiology,11557,Medicare,48,3.3
Hospital 21,City 1,State 1,39065,"405 Main St, City 1, State 1",Colonoscopy,45378,Gastroenterology,4371,Medicare,26,2.6
Hospital 21,City 1,State 1,37932,"929 Main St, City 1, State 1",Ultrasound,76801,Radiology,5938,Medicare,31,4.8
Hospital 22,City 2,State 2,14405,"139 Main St, City 2, State 2",MRI,70551,Radiology,11469,Uninsured,53,3.6
Hospital 22,City 2,State 2,97300,"427 Main St, City 2, State 2",X-Ray,71020,Radiology,584,Private,20,2.8
Hospital 22,City 2,State 2,99836,"504 Main St, City 2, State 2",Blood Test,85025,Laboratory,522,Medicare,29,2.7
Hospital 22,City 2,State 2,32714,"289 Main St, City 2, State 2",Appendectomy,44950,Surgery,5014,Uninsured,34,2.7
Hospital 22,City 2,State 2,96338,"427 Main St, City 2, State 2",CT Scan,71260,Radiology,2238,Medicare,46,4.5
Hospital 22,City 2,State 2,98139,"943 Main St, City 2, State 2",Physical Exam,99386,General,3268,Private,5,5
Hospital 22,City 2,State 2,65765,"442 Main St, City 2, State 2",Knee Replacement,27447,Orthopedics,11540,Medicare,52,4.4
Hospital 22,City 2,State 2,23041,"917 Main St, City 2, State 2",Cardiac Stress Test,93015,Cardiology,8798,Private,11,3.5
Hospital 22,City 2,State 2,45509,"372 Main St, City 2, State 2",Colonoscopy,45378,Gastroenterology,11915,Medicare,44,4.3
Hospital 22,City 2,State 2,39091,"805 Main St, City 2, State 2",Ultrasound,76801,Radiology,9199,Medicare,5,4.2
Hospital 23,City 3,State 3,60220,"570 Main St, City 3, State 3",MRI,70551,Radiology,18105,Private,55,4.1
Hospital 23,City 3,State 3,62414,"354 Main St, City 3, State 3",X-Ray,71020,Radiology,13317,Uninsured,19,3.7
Hospital 23,City 3,State 3,84956,"326 Main St, City 3, State 3",Blood Test,85025,Laboratory,3706,Uninsured,49,4.7
Hospital 23,City 3,State 3,59170,"858 Main St, City 3, State 3",Appendectomy,44950,Surgery,11696,Uninsured,28,4.5
